2025-01-22 22:49:34.129553,united_kingdom,[127241.70424474],,2019-08-21,11.879814386367798,0.1
2025-01-22 22:49:45.954239,united_kingdom,[127241.70424474],,2019-08-22,11.823250770568848,0.1
2025-01-22 22:49:57.866054,united_kingdom,[127241.70424474],,2019-08-23,11.910292387008667,0.1
2025-01-22 22:50:09.828716,united_kingdom,[127241.70424474],,2019-08-24,11.961122512817383,0.1
2025-01-22 22:50:21.716879,united_kingdom,[127241.70424474],,2019-08-25,11.886665344238281,0.1
2025-01-22 22:50:33.626727,united_kingdom,[127241.70424474],,2019-08-26,11.908372402191162,0.1
2025-01-22 22:50:45.583609,united_kingdom,[127241.70424474],,2019-08-27,11.955440282821655,0.1
2025-01-22 22:50:57.456910,united_kingdom,[127241.70424474],,2019-08-28,11.871328592300415,0.1
2025-01-22 22:51:09.278160,united_kingdom,[127241.70424474],,2019-08-29,11.819779634475708,0.1
2025-01-22 22:51:21.126233,united_kingdom,[127241.70424474],,2019-08-30,11.846577405929565,0.1
2025-01-23 11:07:43.822318,united_kingdom,[[39.925076]],,2019-08-01,144.8275487422943,0.1
2025-01-23 11:10:11.491694,united_kingdom,[[39.925076]],,2019-08-02,147.6674575805664,0.1
2025-01-23 11:12:37.414158,united_kingdom,[[39.925076]],,2019-08-03,145.92057371139526,0.1
2025-01-23 11:15:43.909310,united_kingdom,[[39.925076]],,2019-08-01,145.52539658546448,0.1
2025-01-23 11:18:13.203328,united_kingdom,[[39.925076]],,2019-08-02,149.29179286956787,0.1
2025-01-23 11:20:44.668594,united_kingdom,[[39.925076]],,2019-08-03,151.46332550048828,0.1
2025-01-23 11:23:11.960756,united_kingdom,[[39.925076]],,2019-08-04,147.28988218307495,0.1
2025-01-23 11:25:40.135624,united_kingdom,[[39.925076]],,2019-08-05,148.17297101020813,0.1
2025-01-23 12:03:27.940802,united_kingdom,[[0.18694988]],,2019-08-01,142.23872017860413,0.1
2025-01-23 12:05:53.393484,united_kingdom,[[0.18694988]],,2019-08-02,145.45055150985718,0.1
2025-01-23 12:08:19.723691,united_kingdom,[[0.18694988]],,2019-08-03,146.32834768295288,0.1
2025-01-23 12:10:46.246444,united_kingdom,[[0.18694988]],,2019-08-04,146.52067685127258,0.1
2025-01-23 12:13:10.959979,united_kingdom,[[0.18694988]],,2019-08-05,144.71136331558228,0.1
2025-01-23 13:00:57.953425,united_kingdom,[[0.7657531]],,2019-08-01,146.22891497612,0.1
2025-01-23 13:03:30.265327,united_kingdom,[[0.7657531]],,2019-08-02,152.30987071990967,0.1
2025-01-23 13:06:02.281583,united_kingdom,[[0.7657531]],,2019-08-03,152.01433515548706,0.1
2025-01-23 13:08:32.630679,united_kingdom,[[0.7657531]],,2019-08-04,150.34694027900696,0.1
